# ===================
# HU	density g/cm3
# ===================
-2000		0.001
-1000		0.001
-739		0.28
-628		0.4
-97		0.942
-52		0.977
0   1.000
6   1.00100000
13	1.03
14		1.053
70		1.097
213		1.143
220		1.154
266	  1.17
279   1.19
331	  1.19
588		1.335
1046		1.560
1565		1.825
2001    2.0
3001    2.52
3501    2.6989
5001		8.4
